name,B cells,Monocytes,NK cells,T cells
NK cells_PB86,0.19334118,0.21795666,0.21358685,0.18410087
NK cells_PB87,0.197561,0.19989564,0.21281381,0.20500919
Monocytes_PB88,0.16457972,0.26038826,0.21199574,0.16240647
Monocytes_PB89,0.16138276,0.276571,0.19726779,0.15655747
T cells_PB90,0.20114449,0.19931172,0.20812649,0.20576976
B cells_PB91,0.16865271,0.2244129,0.21369065,0.20410304
T cells_PB92,0.19547352,0.19955175,0.21065424,0.20515318
NK cells_PB93,0.1711401,0.20690237,0.22718851,0.20473318
B cells_PB94,0.21550325,0.20029067,0.2111221,0.17703943
Monocytes_PB95,0.15566827,0.2722254,0.19637497,0.17191555
NK cells_PB96,0.19335972,0.22091486,0.20475927,0.19279456
T cells_PB97,0.17872693,0.220762,0.20526238,0.20747758
B cells_PB98,0.17293507,0.2312274,0.20930813,0.193478
B cells_PB99,0.18258846,0.22718418,0.20472895,0.19766985
B cells_PB100,0.17492531,0.22365184,0.2206499,0.18798229
Monocytes_PB101,0.1749391,0.21202677,0.21649282,0.20593849
B cells_PB102,0.23920317,0.18842638,0.19301283,0.18532704
NK cells_PB103,0.16066039,0.2170217,0.23472664,0.19401737
NK cells_PB104,0.17792653,0.20897181,0.23476866,0.18926857
Monocytes_PB105,0.16468035,0.27132255,0.20129292,0.15597945
B cells_PB106,0.20932375,0.20248339,0.2152561,0.18040238
NK cells_PB107,0.18043754,0.22159551,0.22005539,0.191818
Monocytes_PB108,0.175619,0.26171735,0.20184061,0.15770991
T cells_PB109,0.20316535,0.22068757,0.19777049,0.18618451
B cells_PB110,0.1793102,0.22570367,0.21515813,0.18888178
NK cells_PB111,0.17099056,0.22931899,0.22329558,0.18447731
NK cells_PB112,0.18664901,0.22880065,0.21621211,0.17758192
Monocytes_PB113,0.16252069,0.27470893,0.19512987,0.16229814
B cells_PB114,0.20535536,0.19727503,0.20430332,0.19436179
T cells_PB115,0.18174851,0.22113195,0.20922202,0.1982948
T cells_PB116,0.1934997,0.1980763,0.20931074,0.21080278
NK cells_PB117,0.17445768,0.19648387,0.23024473,0.21140982
T cells_PB118,0.1788345,0.23263994,0.21177264,0.18555807
T cells_PB119,0.1942273,0.17440021,0.20251326,0.23357229
Monocytes_PB120,0.16658714,0.25831798,0.2047048,0.16888797
NK cells_PB121,0.18561526,0.20339257,0.23073217,0.18718347
Monocytes_PB122,0.1657105,0.27444562,0.20055899,0.15043828
T cells_PB123,0.19457628,0.22019553,0.22089139,0.17015389
Monocytes_PB124,0.18554665,0.21949433,0.2118882,0.19221151
NK cells_PB125,0.20122688,0.215881,0.20636867,0.18695872
Monocytes_PB126,0.16740488,0.2526622,0.20293035,0.18103428
B cells_PB127,0.24050412,0.16917786,0.19603616,0.19670801
NK cells_PB128,0.17870307,0.19403537,0.2350505,0.19792984
T cells_PB129,0.18862951,0.22052534,0.2209044,0.1751089
NK cells_PB130,0.17906834,0.21289672,0.22979079,0.18762383
Monocytes_PB131,0.1823834,0.23693204,0.2075685,0.17989008
Monocytes_PB132,0.19406967,0.22884725,0.2019366,0.18551342
Monocytes_PB133,0.20394778,0.1971634,0.20825823,0.19938368
NK cells_PB134,0.19722244,0.21497652,0.21983953,0.17526764
B cells_PB135,0.2551777,0.14994764,0.18395899,0.20629403
T cells_PB136,0.1978203,0.20286663,0.20856057,0.19763905
T cells_PB137,0.19802159,0.20697783,0.20766097,0.20237812
B cells_PB138,0.2347515,0.18685894,0.19151498,0.18305056
T cells_PB139,0.17289302,0.21598338,0.21586356,0.20625013
NK cells_PB140,0.17727035,0.19100998,0.22952463,0.20654778
NK cells_PB141,0.17901592,0.19149403,0.24659961,0.18459548
NK cells_PB142,0.20152813,0.21999961,0.21397927,0.17043875
T cells_PB143,0.17492774,0.21565482,0.21070555,0.20928372
NK cells_PB144,0.18349804,0.2375477,0.19143803,0.1920479
NK cells_PB145,0.18675764,0.22572237,0.21155417,0.18693627
NK cells_PB146,0.19544822,0.22532876,0.20516573,0.18493412
B cells_PB147,0.22443312,0.20053804,0.20429428,0.18024598
Monocytes_PB148,0.17073552,0.24735002,0.21190155,0.1761489
T cells_PB149,0.19738606,0.21916522,0.21534841,0.17722957
B cells_PB150,0.19996773,0.20445669,0.2096553,0.19749722
T cells_PB151,0.17696983,0.18744133,0.21698378,0.22593614
T cells_PB152,0.16802023,0.22162889,0.22631116,0.19024153
Monocytes_PB153,0.2033363,0.20011446,0.20930086,0.19624418
NK cells_PB154,0.17763713,0.2295224,0.21688585,0.18467729
T cells_PB155,0.18311399,0.19532244,0.20472386,0.2278257
B cells_PB156,0.21034293,0.21350048,0.19885583,0.1824308
Monocytes_PB157,0.18064228,0.255895,0.19556734,0.16054365
NK cells_PB158,0.17765082,0.21346943,0.23511155,0.17989501
B cells_PB159,0.20782071,0.21620972,0.1991468,0.1879529
T cells_PB160,0.17593375,0.20804244,0.20527753,0.21967891
T cells_PB161,0.17819588,0.22982506,0.21435553,0.18655123
T cells_PB162,0.19656658,0.19476384,0.21054603,0.20960967
NK cells_PB163,0.17919548,0.20507056,0.23456284,0.18291473
B cells_PB164,0.20180517,0.20447701,0.20572425,0.20215863
NK cells_PB165,0.2069432,0.22847523,0.1977584,0.16838245
B cells_PB166,0.23920394,0.17630139,0.19829942,0.1889165
Monocytes_PB167,0.1684718,0.23735501,0.2132506,0.18545397
Monocytes_PB168,0.1906084,0.22276199,0.19684565,0.20201053
NK cells_PB169,0.18212801,0.22495325,0.20033814,0.20154577
NK cells_PB170,0.17210689,0.21531352,0.22679624,0.19246383
B cells_PB171,0.23320365,0.19529398,0.19464923,0.18443681
Monocytes_PB172,0.20223567,0.19101217,0.21453783,0.2052477
B cells_PB173,0.21593197,0.22054358,0.19614293,0.1771204
T cells_PB174,0.19256169,0.21933107,0.21607119,0.18332857
NK cells_PB175,0.16252834,0.20692876,0.24176502,0.19535355
NK cells_PB176,0.17196216,0.23412561,0.21624772,0.1875662
T cells_PB177,0.19802698,0.20211777,0.21228723,0.20309801
NK cells_PB178,0.17092195,0.2145435,0.22926737,0.19736779
Monocytes_PB179,0.17122298,0.28769365,0.17806381,0.14530036
Monocytes_PB180,0.20710331,0.21438792,0.21383752,0.17636593
Monocytes_PB181,0.16685347,0.24188419,0.2036423,0.18798889
T cells_PB182,0.19744581,0.21842922,0.20416868,0.1895722
Monocytes_PB183,0.15623374,0.27664217,0.19472203,0.16353568
B cells_PB184,0.2338613,0.18504468,0.19752923,0.1875152
NK cells_PB185,0.19647136,0.22378601,0.19859973,0.19443633
NK cells_PB186,0.19422822,0.19591063,0.21415116,0.20545179
T cells_PB187,0.19690976,0.19401664,0.20507902,0.21536562
NK cells_PB188,0.17729497,0.20958568,0.23535621,0.18698213
Monocytes_PB189,0.18863928,0.24844636,0.1968587,0.1620107
T cells_PB190,0.20078954,0.2151729,0.21525076,0.17954946
T cells_PB191,0.18526171,0.23195113,0.21390547,0.17675403
NK cells_PB192,0.17655706,0.175587,0.25140107,0.19645207
T cells_PB193,0.19876511,0.19211742,0.20592211,0.21172412
Monocytes_PB194,0.1819432,0.24950784,0.20448747,0.16338067
Monocytes_PB195,0.19580042,0.21639286,0.21399115,0.18297082
T cells_PB196,0.1658803,0.23190163,0.21770626,0.19338404
T cells_PB197,0.20122412,0.19283913,0.2107007,0.20820461
T cells_PB198,0.17580523,0.19992594,0.2118572,0.2194725
Monocytes_PB199,0.15073791,0.27842402,0.19715789,0.15639809
Monocytes_PB200,0.16822441,0.2713232,0.19176121,0.1631843
T cells_PB201,0.20713606,0.19392136,0.2042297,0.2061795
NK cells_PB202,0.19353701,0.2242433,0.20870316,0.18385734
T cells_PB203,0.19788331,0.22897126,0.20490198,0.17941731
T cells_PB204,0.18383752,0.19376208,0.20532405,0.22905435
NK cells_PB205,0.17402865,0.20689248,0.23797016,0.18882917
T cells_PB206,0.1971531,0.19713286,0.2064949,0.19668372
Monocytes_PB207,0.20463341,0.19996044,0.21080816,0.2001751
T cells_PB208,0.20078564,0.19648789,0.20737548,0.20387965
T cells_PB209,0.19820455,0.22308739,0.2104332,0.17351574
T cells_PB210,0.19719607,0.20611718,0.2065809,0.20154566
B cells_PB211,0.20893443,0.19884163,0.2038258,0.19846593
T cells_PB212,0.20003775,0.19798483,0.20788908,0.20373471
B cells_PB213,0.20810112,0.21875696,0.195695,0.18478318
T cells_PB214,0.18005918,0.22450268,0.21539456,0.19022936
B cells_PB215,0.20758368,0.19892538,0.20388095,0.19892606
NK cells_PB216,0.18284526,0.23434913,0.20831732,0.1819234
Monocytes_PB217,0.19678366,0.22780734,0.20289564,0.18338874
NK cells_PB218,0.17921235,0.19666605,0.24373746,0.1805736
B cells_PB219,0.22104934,0.21541992,0.1982344,0.17310238
Monocytes_PB220,0.14673556,0.27267092,0.19866407,0.17216544
Monocytes_PB221,0.17764574,0.25781402,0.19402881,0.16824518
T cells_PB222,0.18411571,0.22459953,0.21053688,0.1943001
T cells_PB223,0.20711201,0.21405594,0.20939481,0.16532774
Monocytes_PB224,0.16385485,0.24742576,0.21233302,0.18076348
B cells_PB225,0.18202855,0.2231265,0.20965348,0.19665259
B cells_PB226,0.20632246,0.21927156,0.19429465,0.18889306
NK cells_PB227,0.16329987,0.19006363,0.25147545,0.19630873
T cells_PB228,0.19734369,0.21980333,0.21178798,0.18454516
T cells_PB229,0.1857414,0.18640023,0.21405391,0.22544539
Monocytes_PB230,0.15847376,0.27011758,0.20117775,0.16333255
B cells_PB231,0.24057828,0.1997451,0.18785113,0.16920052
B cells_PB232,0.20266499,0.19953369,0.207942,0.20428485
B cells_PB233,0.23076902,0.18763919,0.20038626,0.18257453
B cells_PB234,0.18012176,0.22950123,0.20607853,0.19333696
T cells_PB235,0.1870477,0.22789533,0.20602655,0.18969311
NK cells_PB236,0.18130526,0.1904297,0.23681906,0.19795085
T cells_PB237,0.20229512,0.21678008,0.21190597,0.17909087
T cells_PB238,0.1801854,0.23775877,0.20883529,0.18184872
T cells_PB239,0.18180352,0.21943682,0.20645745,0.20482975
B cells_PB240,0.17231397,0.22663173,0.21910635,0.1937137
B cells_PB241,0.25001255,0.17255549,0.18304858,0.18927942
B cells_PB242,0.23938572,0.18575202,0.19027752,0.18418892
NK cells_PB243,0.18934385,0.20009962,0.23385388,0.18534175
NK cells_PB244,0.19963181,0.19900581,0.20530486,0.20650527
NK cells_PB245,0.1927753,0.22692375,0.20285341,0.18810506
B cells_PB246,0.2486444,0.16013655,0.18552949,0.20351712
Monocytes_PB247,0.1916293,0.24694112,0.19454652,0.16655621
Monocytes_PB248,0.14844435,0.2747914,0.19914754,0.16626483
B cells_PB249,0.23104607,0.17412136,0.19595975,0.20613569
T cells_PB250,0.19257492,0.20139599,0.208017,0.21037383
NK cells_PB251,0.20071384,0.20578505,0.20576571,0.20065226
NK cells_PB252,0.18989885,0.20982343,0.22455701,0.18528488
T cells_PB253,0.19440791,0.20015557,0.20684475,0.20559153
T cells_PB254,0.20306273,0.21901861,0.20545772,0.18106405
NK cells_PB255,0.18116526,0.22393502,0.20980345,0.19706182
NK cells_PB256,0.19911003,0.19926651,0.21223252,0.20175363
T cells_PB257,0.19380313,0.19281134,0.20899488,0.21305603
Monocytes_PB258,0.18785396,0.2520535,0.19133882,0.17084987
B cells_PB259,0.20598532,0.19877581,0.20918699,0.19564
Monocytes_PB260,0.20651375,0.19640324,0.20669855,0.20107263
T cells_PB261,0.1965243,0.20424926,0.20499782,0.20749682
T cells_PB262,0.19050078,0.16951336,0.20114546,0.24408926
B cells_PB263,0.17137638,0.21822996,0.21638271,0.19924992
NK cells_PB264,0.18618639,0.21328843,0.23154333,0.174537
