name,B cells,Monocytes,NK cells,T cells
T cells_PB1,0.13207655928039824,0.29361110244180283,0.2791821511305301,0.29513018714726885
B cells_PB2,0.8288633931012261,0.09230483104114351,0.026301838936104598,0.052529936921525924
T cells_PB3,0.09043704293242308,0.12772798584158865,0.22819466062330418,0.5536403106026839
Monocytes_PB4,0.0,0.7420069143309107,0.0468617550104915,0.21113133065859777
T cells_PB5,0.14582311403147608,0.2992440594889413,0.30855901209164344,0.24637381438793912
T cells_PB6,0.1435278012595625,0.31816697725291054,0.290486567234693,0.24781865425283395
Monocytes_PB7,0.11565629323685805,0.13591331519974761,0.3268132491224027,0.4216171424409915
T cells_PB8,0.0523775221692799,0.05900785815766119,0.1763227675004337,0.7122918521726251
Monocytes_PB9,0.014604483566932823,0.7549182608657526,0.018920731985987576,0.211556523581327
B cells_PB10,0.5555586871423281,0.17185319815077876,0.1226555302712153,0.14993258443567764
NK cells_PB11,0.23076566765570836,0.38318366992606867,0.15728946175228375,0.22876120066593922
NK cells_PB12,0.0,0.020049506810524413,0.8295220602101474,0.1504284329793282
NK cells_PB13,0.0,0.06365057147298502,0.7997800193372097,0.1365694091898053
Monocytes_PB14,0.09883812754225096,0.3409544984599477,0.17805620506454659,0.3821511689332547
NK cells_PB15,0.19326998652776886,0.3268244738506055,0.24068469067191947,0.23922084894970605
B cells_PB16,0.09543601957871611,0.20185168860063576,0.4108494684160898,0.2918628234045584
NK cells_PB17,0.14786424378538585,0.28393167551798765,0.3393818495342816,0.22882223116234493
Monocytes_PB18,0.1351447006578754,0.6535630228278289,0.14512848825135763,0.06616378826293824
B cells_PB19,0.26054991424943297,0.31945250227877126,0.2307747589686012,0.18922282450319453
NK cells_PB20,0.13283831945895783,0.28032076635434794,0.3556909197449703,0.23114999444172396
B cells_PB21,0.4035531918991618,0.17933456784672486,0.21301315804817425,0.2040990822059392
T cells_PB22,0.16125094975344068,0.35171822931127095,0.26446854453552865,0.2225622763997597
T cells_PB23,0.06313089136955428,0.2024721975201669,0.24694827549106474,0.48744863561921403
Monocytes_PB24,0.11248953797661633,0.5211601525177525,0.2191307306435392,0.14721957886209194
T cells_PB25,0.15816559586544357,0.18355781094459514,0.2799671403690224,0.3783094528209389
T cells_PB26,0.0,0.11914353182597799,0.16883883887245157,0.7120176293015705
NK cells_PB27,0.14179824749533473,0.2570990131508669,0.3083896723569599,0.2927130669968386
Monocytes_PB28,0.0373621005463414,0.6469546975187971,0.10277481227340442,0.21290838966145711
Monocytes_PB29,0.12452177300613824,0.6959697685054769,0.12386535678316365,0.05564310170522104
Monocytes_PB30,0.006379910832645468,0.12291167521474647,0.3607803446607025,0.5099280692919056
NK cells_PB31,0.0,0.13954330843734414,0.5822684933381391,0.2781881982245167
T cells_PB32,0.16331993249923746,0.4282719918029074,0.24323433992568746,0.16517373577216765
T cells_PB33,0.1401490874401179,0.4382489179926744,0.2630636493452276,0.15853834522198001
T cells_PB34,0.02854964818650144,0.01193306787850689,0.22797580216972485,0.7315414817652668
T cells_PB35,0.03506403517248307,0.027989946351792545,0.1973560690381745,0.73958994943755
B cells_PB36,0.6457578811365018,0.125192570446601,0.11722438722928934,0.11182516118760778
NK cells_PB37,0.11142212531864218,0.18184700166298623,0.40258154716831257,0.30414932585005905
Monocytes_PB38,0.10788540867080279,0.1734404095852067,0.3585223565126029,0.3601518252313876
B cells_PB39,0.5517980027962053,0.11532964826683284,0.1684078565481632,0.16446449238879868
B cells_PB40,0.24841867551958915,0.28444841016888495,0.24334723994467683,0.2237856743668491
NK cells_PB41,0.16245617914267785,0.35316282177548003,0.23219813136995027,0.2521828677118917
Monocytes_PB42,0.14304544516297962,0.6201942212979921,0.12316818260454188,0.11359215093448628
NK cells_PB43,0.10158398267291995,0.4335706718969373,0.13473599551482918,0.33010934991531343
B cells_PB44,0.7501324126981543,0.07867884231763195,0.0796375345712825,0.0915512104129312
B cells_PB45,0.1674460453340226,0.324423054502136,0.259226924709388,0.24890397545445334
NK cells_PB46,0.01419147461851334,0.10772432182391102,0.652621449092995,0.22546275446458047
T cells_PB47,0.1626949984785989,0.2698744410055168,0.26915525222513975,0.2982753082907445
Monocytes_PB48,0.11287285470412202,0.6520067708867138,0.13828294331145646,0.09683743109770795
B cells_PB49,0.337145814881635,0.1698548881127314,0.22640413545964258,0.26659516154599106
B cells_PB50,0.12868083283911816,0.3857947224261163,0.260391360880479,0.22513308385428657
NK cells_PB51,0.0,0.03034263217890201,0.8855280306897748,0.08412933713132319
T cells_PB52,0.07780057943788267,0.11818374405139502,0.2117549068266397,0.5922607696840827
B cells_PB53,0.8160031135283053,0.06196962761777416,0.07442647576676151,0.04760078308715913
T cells_PB54,0.052403601924614754,0.053070006606202855,0.19509806083807707,0.6994283306311054
Monocytes_PB55,0.10902487716337975,0.7016084692270927,0.09713615265951066,0.09223050095001688
NK cells_PB56,0.0,0.038208559328171895,0.8690058851381363,0.09278555553369179
B cells_PB57,0.09905254981165997,0.33345644290959214,0.3503916463842655,0.21709936089448237
T cells_PB58,0.16398425328040842,0.312090484768641,0.26142833735684257,0.262496924594108
NK cells_PB59,0.21088613988785085,0.35765125115108304,0.18000172280817278,0.2514608861528933
B cells_PB60,0.17531020639860087,0.28860860962553375,0.3002919315947636,0.23578925238110174
B cells_PB61,0.2291103337515999,0.3026004422502157,0.2644080963239038,0.20388112767428063
NK cells_PB62,0.029436813727297947,0.3811518966811713,0.2510385586406405,0.3383727309508902
Monocytes_PB63,0.060086562281759646,0.8983637695644956,0.0,0.04154966815374474
T cells_PB64,0.05143653861493766,0.31773936238585054,0.21770975897010222,0.4131143400291096
Monocytes_PB65,0.1661974454620296,0.39593137677533063,0.2780503402080943,0.1598208375545455
B cells_PB66,0.33211195929099396,0.17672208422171407,0.22913307833547072,0.26203287815182125
T cells_PB67,0.14390099058661027,0.4068870102412023,0.30279910909032004,0.14641289008186736
NK cells_PB68,0.0021913829051898675,0.05431301798613684,0.7938016559476391,0.14969394316103432
T cells_PB69,0.09217204506503948,0.3276198220468987,0.2605657884799443,0.31964234440811745
T cells_PB70,0.05142460168793536,0.02179734617924672,0.17011053038894683,0.7566675217438711
Monocytes_PB71,0.06690750543205641,0.851149251877669,0.039932656012130426,0.0420105866781442
NK cells_PB72,0.16576490404560307,0.2924422565472691,0.2843122450722641,0.2574805943348636
T cells_PB73,0.14556174774139458,0.4800204770422944,0.2585952135351663,0.11582256168114488
Monocytes_PB74,0.062189156278751254,0.8910901211772492,0.013358361920147064,0.033362360623852436
Monocytes_PB75,0.08372742898761905,0.7988217702011008,0.08033761779014732,0.037113183021132846
NK cells_PB76,0.013217813014111108,0.08572989236332527,0.7156507381758336,0.18540155644672993
T cells_PB77,0.055029798172723944,0.09702075136849779,0.2179879927644734,0.6299614576943048
NK cells_PB78,0.19366780122656635,0.4153100751361993,0.2181254175433977,0.17289670609383662
T cells_PB79,0.03212479728732218,0.2192481223307509,0.25619207907096525,0.4924350013109618
T cells_PB80,0.1587928427414946,0.3653087963585864,0.32000513810160025,0.1558932227983188
B cells_PB81,0.7672934124385989,0.10636313967061892,0.06876960654429823,0.05757384134648385
B cells_PB82,0.44721976104769146,0.13264053270634574,0.17558790550859923,0.2445518007373637
B cells_PB83,0.21383715630702374,0.35554744217584433,0.20199802105748552,0.22861738045964633
B cells_PB84,0.08955380263997739,0.4027743194948035,0.29260356820720707,0.21506830965801194
B cells_PB85,0.17449753007406166,0.2635778790357335,0.282154796767871,0.27976979412233377
NK cells_PB86,0.1195295618934392,0.3614637953767787,0.34757456967780986,0.17143207305197222
NK cells_PB87,0.0,0.09033730399212316,0.7099315007882385,0.1997311952196383
Monocytes_PB88,0.07158511389342222,0.7528631115531328,0.08019910916480412,0.095352665388641
Monocytes_PB89,0.0517821949985908,0.9145672342666585,0.0009384754702572362,0.03271209526449331
T cells_PB90,0.1596878757842068,0.23405903588712607,0.26352724550632806,0.342725842822339
B cells_PB91,0.11839706081826001,0.3605659135212409,0.339090212137479,0.18194681352301997
T cells_PB92,0.09781994587243739,0.1328581613135395,0.20226787785904254,0.5670540149549804
NK cells_PB93,0.0080795206429598,0.09009468616298136,0.7566411958722863,0.1451845973217725
B cells_PB94,0.3610029188093244,0.1889994947551601,0.2399093416219083,0.2100882448136072
Monocytes_PB95,0.05028338155208399,0.8753035094222145,0.039500891682334206,0.034912217343367226
NK cells_PB96,0.07179706457868235,0.1837369908568105,0.5193565863074435,0.22510935825706377
T cells_PB97,0.1440324876396875,0.19166305413288603,0.262055113012001,0.4022493452154254
B cells_PB98,0.25242632488301775,0.24649802012422356,0.27269762848675627,0.2283780265060023
B cells_PB99,0.0915565303059105,0.40271726339153013,0.3294457514472575,0.17628045485530197
B cells_PB100,0.1050103218555244,0.41437156359113786,0.33144069472766335,0.14917741982567437
Monocytes_PB101,0.12992670154063296,0.09006891500706755,0.42270375912078934,0.3573006243315102
B cells_PB102,0.43071564317880723,0.156396406293892,0.24866971211468114,0.1642182384126197
NK cells_PB103,0.01007524357922696,0.3066384968519301,0.33368482845023456,0.3496014311186083
NK cells_PB104,0.05716860489328979,0.1611425095449227,0.5715920661994685,0.21009681936231908
Monocytes_PB105,0.07825143984383011,0.9068175019858307,0.01493105817033922,0.0
B cells_PB106,0.2042704806853022,0.33753904637518595,0.2569994606973684,0.20119101224214342
NK cells_PB107,0.10097185937625223,0.20041510135132096,0.5077601465194007,0.1908528927530262
Monocytes_PB108,0.06358963827043562,0.8418838815917159,0.03496371175858033,0.05956276837926823
T cells_PB109,0.1840280391290874,0.3271511121001128,0.26820429421381237,0.22061655455698745
B cells_PB110,0.11909130908812718,0.33860758907930716,0.3245895325581336,0.21771156927443217
NK cells_PB111,0.036676820079797286,0.32583170014224255,0.2841674940551953,0.3533239857227649
NK cells_PB112,0.08400715732010652,0.4432111222417657,0.19303454633342043,0.27974717410470745
Monocytes_PB113,0.042000930976545586,0.9303198062113038,0.0,0.027679262812150558
B cells_PB114,0.6409328597563182,0.08970231323730898,0.1320384866853884,0.1373263403209844
T cells_PB115,0.0728344582135066,0.160265554439581,0.2770028125573606,0.48989717478955186
T cells_PB116,0.0673041680622997,0.05949450511350636,0.2210276520684237,0.6521736747557704
NK cells_PB117,0.0,0.04098322276188068,0.7721591720105998,0.18685760522751946
T cells_PB118,0.18129990095956153,0.371124204633815,0.24174946468679556,0.2058264297198279
T cells_PB119,0.06115700521037467,0.032403444815298825,0.22289855445691076,0.6835409955174157
Monocytes_PB120,0.006613613614987489,0.6644580034610615,0.12059592497849643,0.2083324579454546
NK cells_PB121,0.0,0.05588993646758645,0.7160712585805964,0.22803880495181714
Monocytes_PB122,0.04407247461924961,0.9072802417653978,0.018244841196335026,0.030402442419017628
T cells_PB123,0.1751019828515637,0.3371312105023071,0.2710853988413452,0.21668140780478395
Monocytes_PB124,0.12502926232620698,0.17087312325649642,0.3930507851846431,0.3110468292326535
NK cells_PB125,0.14439336105707687,0.3371880077929652,0.3008177928293732,0.21760083832058472
Monocytes_PB126,0.13231005859759637,0.5903856401665387,0.1733281113765471,0.10397618985931778
B cells_PB127,0.6905135753493883,0.10534777213245367,0.09989303309377122,0.104245619424387
NK cells_PB128,0.0,0.04707005840408257,0.8443943883262204,0.10853555326969705
T cells_PB129,0.15518165680108795,0.36600316643066144,0.32071833643981346,0.15809684032843724
NK cells_PB130,0.012018506359473158,0.16320407107226148,0.5939780164024284,0.23079940616583688
Monocytes_PB131,0.1460759970926704,0.5521282746456231,0.22712054525633907,0.0746751830053676
Monocytes_PB132,0.1710811645929738,0.3381499506231398,0.25159462231700863,0.23917426246687784
Monocytes_PB133,0.1473627410258285,0.16408377342805305,0.4051834481260279,0.2833700374200905
NK cells_PB134,0.14412833501635283,0.2586183923210691,0.39174945738813655,0.2055038152744416
B cells_PB135,0.8468875799714051,0.06456742680606806,0.02562221388061381,0.06292277934191304
T cells_PB136,0.15092271679322128,0.2929973189802813,0.2847040001203704,0.2713759641061269
T cells_PB137,0.10702326394430263,0.16411126049972746,0.2767865347363869,0.452078940819583
B cells_PB138,0.5131847156655378,0.15579146525245163,0.15776035636818886,0.1732634627138217
T cells_PB139,0.12045038472925626,0.25859662166797354,0.3177236118644585,0.30322938173831165
NK cells_PB140,0.0,0.02712270084716905,0.9000141461565065,0.07286315299632434
NK cells_PB141,0.0,0.024768675140281998,0.8446189364804355,0.13061238837928232
NK cells_PB142,0.1352994524053236,0.3779921913177112,0.3023491165947485,0.1843592396822167
T cells_PB143,0.11766515614086319,0.12604619865360786,0.32018994230001946,0.4360987029055095
NK cells_PB144,0.12741279508956133,0.36009389779928874,0.34891868985311153,0.1635746172580384
NK cells_PB145,0.12329336239879704,0.33338787496524824,0.3619405283555974,0.18137823428035726
NK cells_PB146,0.2223864009888134,0.4214890474000721,0.1794629176029956,0.176661634008119
B cells_PB147,0.4789877142372234,0.12998667195353406,0.16192585646870353,0.22909975734053892
Monocytes_PB148,0.13438778500332527,0.6406228820591557,0.13909564162420496,0.08589369131331409
T cells_PB149,0.20968493529188958,0.3399541132704594,0.2902247316415996,0.16013621979605147
B cells_PB150,0.19779183903815298,0.3493064596931706,0.2410840889129311,0.21181761235574545
T cells_PB151,0.053988859899312215,0.02711870412940924,0.20995482745925254,0.7089376085120259
T cells_PB152,0.16199261184409428,0.29444237592421485,0.2984690008044347,0.24509601142725612
Monocytes_PB153,0.15489261248519928,0.21440442106613522,0.39642574008553383,0.23427722636313164
NK cells_PB154,0.05131632640579374,0.13107708419269723,0.5878461958862643,0.22976039351524463
T cells_PB155,0.0,0.06578595367822448,0.11701141222514323,0.8172026340966322
B cells_PB156,0.08954484656754592,0.32751843607389275,0.22643652220151866,0.3565001951570426
Monocytes_PB157,0.0,0.7781371618142553,0.04482226934993015,0.1770405688358146
NK cells_PB158,0.0009588923860237693,0.055006914536654426,0.7515566568959017,0.1924775361814201
B cells_PB159,0.07712528317621006,0.26875196751508706,0.2275014862954902,0.4266212630132127
T cells_PB160,0.07753018833834767,0.10606832298695107,0.22396359627321027,0.5924378924014911
T cells_PB161,0.17872279017789983,0.3172715319466024,0.2289467852819992,0.2750588925934986
T cells_PB162,0.10060459694326215,0.12507784631614874,0.20216289857916717,0.5721546581614217
NK cells_PB163,0.015445572284199849,0.15690761447546803,0.641581497658794,0.18606531558153816
B cells_PB164,0.33547110720245926,0.2141321640086756,0.22372981389849225,0.2266669148903729
NK cells_PB165,0.1994582533597518,0.4263671762480614,0.20574001923502852,0.1684345511571582
B cells_PB166,0.674710316980628,0.07722213882267319,0.1098808974619407,0.13818664673475808
Monocytes_PB167,0.12373216098828095,0.4558936165352513,0.26934483683643484,0.15102938564003301
Monocytes_PB168,0.08053436615046901,0.31457002501937925,0.24168909601282684,0.36320651281732497
NK cells_PB169,0.20242783118230526,0.3847595895100103,0.16940229142160917,0.24341028788607524
NK cells_PB170,0.027192318616258315,0.1559055787228505,0.6468968940131747,0.17000520864771643
B cells_PB171,0.5026723811815159,0.15547591604934002,0.1439222991821895,0.19792940358695446
Monocytes_PB172,0.13444625040578678,0.08159402938894278,0.4172645896123041,0.36669513059296627
B cells_PB173,0.31872415830333345,0.23191476383548182,0.2233205521429007,0.2260405257182839
T cells_PB174,0.16535877591324857,0.31628961641026476,0.2870128249958239,0.2313387826806627
NK cells_PB175,0.0063799507513139534,0.11152203931190491,0.6703582323032868,0.2117397776334943
NK cells_PB176,0.1829389824125835,0.3578566989011041,0.26191061072222127,0.1972937079640911
T cells_PB177,0.11038733894751918,0.1580271889429855,0.20292335958793029,0.5286621125215649
NK cells_PB178,0.10586133987628206,0.18052536667853622,0.44457778203781345,0.26903551140736837
Monocytes_PB179,0.051090349459027566,0.9335601117949754,0.0,0.015349538745996967
Monocytes_PB180,0.16870967672080656,0.21285839846130267,0.3368826969651149,0.2815492278527759
Monocytes_PB181,0.1320445697412211,0.48507965137567166,0.23104557334669848,0.15183020553640864
T cells_PB182,0.17144798665876695,0.3654264673161714,0.28156117105856404,0.18156437496649774
Monocytes_PB183,0.04175834196602963,0.930099864751656,0.004102613846893879,0.024039179435420492
B cells_PB184,0.7526521583650843,0.08148294838281354,0.10244834171495104,0.06341655153715126
NK cells_PB185,0.1098335271211891,0.3107490405403118,0.31800757882695035,0.26140985351154883
NK cells_PB186,0.007299102122234856,0.0932077113829032,0.6899235264263562,0.20956966006850586
T cells_PB187,0.0,0.07391996046528361,0.15358401470617156,0.7724960248285447
NK cells_PB188,0.027143085334348425,0.15230998071314703,0.602693682082437,0.2178532518700675
Monocytes_PB189,0.04598639155485783,0.6494132188310029,0.07070149897045858,0.23389889064368072
T cells_PB190,0.14534377110736385,0.27440017319355003,0.32457287106705945,0.2556831846320267
T cells_PB191,0.18450380689193174,0.43100929911634983,0.27580060600427236,0.10868628798744616
NK cells_PB192,0.0,0.039035459780005055,0.8437783995493602,0.11718614067063479
T cells_PB193,0.0,0.07400727265632684,0.11447777416158214,0.8115149531820911
Monocytes_PB194,0.1117428787556555,0.7444827900824963,0.1268044369367101,0.016969894225138157
Monocytes_PB195,0.16796264319259316,0.4772084021735433,0.24386119008017007,0.1109677645536935
T cells_PB196,0.14296635599185487,0.27814737789153426,0.3009026200628244,0.2779836460537864
T cells_PB197,0.0,0.0895396857788672,0.24743440691494895,0.6630259073061838
T cells_PB198,0.06088686027553942,0.0664948499595028,0.20049042945325288,0.672127860311705
Monocytes_PB199,0.0515150551894465,0.9150974756522237,0.0038903932149097014,0.029497075943420163
Monocytes_PB200,0.07969595393767882,0.8222551044190217,0.06327580466774473,0.034773136975554675
T cells_PB201,0.1205629803262346,0.08678978829363028,0.24995509563308463,0.5426921357470504
NK cells_PB202,0.2172506581147292,0.3939248103394204,0.18118543063505885,0.2076391009107916
T cells_PB203,0.13838059415760529,0.34844689342321133,0.3400256390598092,0.1731468733593742
T cells_PB204,0.050955885831562436,0.04520155303423204,0.17327237480061775,0.7305701863335877
NK cells_PB205,0.03844450552160496,0.10040911006549157,0.648578960644562,0.21256742376834145
T cells_PB206,0.12812232457929043,0.396540669842884,0.3518261966124761,0.1235108089653496
Monocytes_PB207,0.1527923107515389,0.14351626283194457,0.32418690336441236,0.3795045230521042
T cells_PB208,0.0961452945900056,0.11200814320675505,0.2810715339287844,0.5107750282744549
T cells_PB209,0.09130329669984011,0.4033357092832169,0.22639486232667752,0.27896613169026546
T cells_PB210,0.1427735553911341,0.3607034084175325,0.2798916089170625,0.21663142727427093
B cells_PB211,0.229208054625743,0.22544741311915498,0.15805672326597592,0.38728780898912607
T cells_PB212,0.12340698593768146,0.14441325265652225,0.1870354869698306,0.5451442744359657
B cells_PB213,0.4544310423306752,0.167574188288095,0.08240421953779033,0.29559054984343924
T cells_PB214,0.14587196620314302,0.2912688008800984,0.3315244569685627,0.23133477594819593
B cells_PB215,0.5421968632780089,0.1315990058980862,0.13671630043350072,0.18948783039040418
NK cells_PB216,0.07459061296243993,0.3695386793980866,0.22550733201416173,0.3303633756253119
Monocytes_PB217,0.14843121247949098,0.4744441038382439,0.2620540411494548,0.11507064253281032
NK cells_PB218,0.009831611311963478,0.09460547480919852,0.7724350977622428,0.12312781611659515
B cells_PB219,0.4459576027046829,0.14356401253686174,0.21980703208244376,0.19067135267601149
Monocytes_PB220,0.06266427979849964,0.9015360456292014,0.01928034128821251,0.016519333284086488
Monocytes_PB221,0.08238522219476059,0.7607557371729949,0.10230196821160509,0.05455707242063953
T cells_PB222,0.11333189743565625,0.17414382768456277,0.28085617091558557,0.43166810396419525
T cells_PB223,0.1900774563242403,0.42774194743208804,0.26556785341564054,0.11661274282803112
Monocytes_PB224,0.0493858656540397,0.5195093613279967,0.1711262400239321,0.2599785329940316
B cells_PB225,0.15432128779650817,0.3606374807371352,0.2681425721041722,0.2168986593621844
B cells_PB226,0.16478303205163633,0.31684939363451,0.2658155514397792,0.2525520228740744
NK cells_PB227,0.0,0.034721470389298396,0.8874212753717464,0.0778572542389551
T cells_PB228,0.13486683019189175,0.2723318903074643,0.2613803179717038,0.33142096152894013
T cells_PB229,0.052289149982092005,0.05598263393684988,0.18222085940250993,0.7095073566785481
Monocytes_PB230,0.09056173046654303,0.7584155014990596,0.07520689575002276,0.07581587228437466
B cells_PB231,0.5656158586331401,0.14416267784387546,0.05252019168568595,0.2377012718372985
B cells_PB232,0.29002827446161644,0.21123288306719723,0.2436649687983631,0.25507387367282314
B cells_PB233,0.35510224785614874,0.18013992272211796,0.22238708619465475,0.2423707432270786
B cells_PB234,0.21246172436520236,0.19350753630855688,0.16772618224990937,0.4263045570763313
T cells_PB235,0.15112201731424166,0.35852535073283365,0.2859693722237973,0.20438325972912727
NK cells_PB236,0.019661482960592825,0.08816790051290956,0.7364833421667556,0.1556872743597422
T cells_PB237,0.12952995417167007,0.35310521460776095,0.2623963162140743,0.2549685150064947
T cells_PB238,0.15449497122390995,0.4644515084697816,0.2686437193786778,0.11240980092763066
T cells_PB239,0.09310910766253383,0.15111328309213995,0.23451946407026983,0.5212581451750563
B cells_PB240,0.1310324016850612,0.36585180398932843,0.31996049920371084,0.18315529512189946
B cells_PB241,0.8415369399469529,0.05112249116508788,0.06085042882831876,0.046490140059640424
B cells_PB242,0.8129190859097157,0.08028569556494264,0.045810575276519376,0.060984643248822225
NK cells_PB243,0.0,0.04914525486369146,0.8412437722298164,0.10961097290649212
NK cells_PB244,0.10507663145455007,0.24360773472968575,0.4284929497422986,0.2228226840734655
NK cells_PB245,0.17963197874810927,0.48108994880581024,0.1603253737844744,0.17895269866160604
B cells_PB246,0.7784031898283785,0.05886918157134765,0.07834147224712505,0.08438615635314874
Monocytes_PB247,0.13305647854490185,0.5522278651462716,0.2044185236701302,0.11029713263869627
Monocytes_PB248,0.02654696176454631,0.9367230991325242,0.0,0.03672993910292959
B cells_PB249,0.8176921641354412,0.060357638740688634,0.09434189360217254,0.027608303521697655
T cells_PB250,0.05113772103246951,0.04570071435770966,0.17614702638608085,0.7270145382237398
NK cells_PB251,0.11493285773864849,0.2336275192792056,0.38690332701903074,0.2645362959631152
NK cells_PB252,0.07077109962181423,0.21366479736716681,0.43481571011273046,0.28074839289828857
T cells_PB253,0.06868980520768739,0.08046266817356174,0.2033621050698146,0.6474854215489363
T cells_PB254,0.14793212404782308,0.3080329316648359,0.2734528036430404,0.2705821406443006
NK cells_PB255,0.042004888073124406,0.393090994725612,0.1996426735056501,0.3652614436956135
NK cells_PB256,0.028633775842709784,0.12947920669415575,0.6063296720580218,0.23555734540511275
T cells_PB257,0.04898342369363543,0.05961022995506443,0.1822511408182155,0.7091552055330848
Monocytes_PB258,0.08914431909340287,0.798538252997166,0.08939287361038833,0.022924554299042863
B cells_PB259,0.3805540484533162,0.13955189036273627,0.23313246247834757,0.24676159870559988
Monocytes_PB260,0.05666770196316468,0.1694666673329346,0.3023916707060964,0.4714739599978043
T cells_PB261,0.08737155088162224,0.14218573635616819,0.24199803185947105,0.5284446809027384
T cells_PB262,0.05635866771681753,0.06645776012312063,0.1711681949955696,0.7060153771644923
B cells_PB263,0.12879457267569594,0.33005947788938417,0.3014105296824858,0.23973541975243415
NK cells_PB264,0.06868505114612566,0.1500785244879452,0.6092736004440726,0.1719628239218566
Monocytes_PB265,0.04508224982370873,0.9253274976360403,0.0,0.02959025254025107
T cells_PB266,0.0,0.14341408874701142,0.15564432297478212,0.7009415882782063
NK cells_PB267,0.007847463472248,0.09012509641536247,0.719887043016894,0.1821403970954955
B cells_PB268,0.5264648865280911,0.12755750118395603,0.1583743997597516,0.18760321252820134
B cells_PB269,0.1339505879125136,0.34437440123597957,0.1570445299482009,0.3646304809033059
B cells_PB270,0.1996294864309165,0.274446269003106,0.264084835726437,0.2618394088395405
NK cells_PB271,0.0,0.06819013822592707,0.7870185605798599,0.14479130119421316
Monocytes_PB272,0.05855033128801051,0.9055905308816892,0.007770030088613848,0.028089107741686506
NK cells_PB273,0.0,0.03628586612548369,0.8501178248575171,0.11359630901699931
T cells_PB274,0.0553267080304317,0.03407198182245908,0.18904449977645574,0.7215568103706533
T cells_PB275,0.07272521210995707,0.2694837805632569,0.16415135982729265,0.49363964749949335
T cells_PB276,0.12559818442828496,0.16612187308340765,0.2608813622713889,0.44739858021691836
Monocytes_PB277,0.0,0.879182059243723,0.0,0.12081794075627696
B cells_PB278,0.3278246740983863,0.21907148641641974,0.14211242492234324,0.31099141456285073
B cells_PB279,0.5401441982713616,0.11241145396637052,0.1528943487198663,0.19454999904240164
B cells_PB280,0.5469960023438268,0.13320448879923052,0.058892415761852744,0.2609070930950899
NK cells_PB281,0.0,0.02591986488188804,0.86605458036904,0.10802555474907183
NK cells_PB282,0.1254266053736204,0.2860635927201267,0.40953977825864635,0.17897002364760667
T cells_PB283,0.14856982837500207,0.179837739675537,0.3191205082004936,0.35247192374896735
B cells_PB284,0.13629848693852403,0.3426536972929762,0.314859305101339,0.20618851066716076
B cells_PB285,0.3767654622520256,0.183997503005361,0.20867268649793352,0.23056434824467995
B cells_PB286,0.10214950657590946,0.36358402168372495,0.3324108846571274,0.20185558708323803
B cells_PB287,0.2909306980222319,0.17723254004867506,0.2734351338405037,0.2584016280885892
NK cells_PB288,0.0,0.16008649780825335,0.5432050463458342,0.2967084558459126
NK cells_PB289,0.11383949757772313,0.3184726710824923,0.32828762212551094,0.2394002092142736
T cells_PB290,0.11999792239722722,0.11799391517348802,0.2807983158949683,0.4812098465343165
NK cells_PB291,0.21469809319906408,0.427379572296589,0.1636886078643605,0.1942337266399864
T cells_PB292,0.14511831246729098,0.4089273516666016,0.3153924392530186,0.13056189661308878
T cells_PB293,0.0641509292764558,0.052564174790475704,0.23218603896807075,0.6510988569649978
T cells_PB294,0.13066783019282074,0.21954612257483216,0.3085508939768768,0.3412351532554704
Monocytes_PB295,0.16331300400222393,0.17762393441035249,0.3538129197085676,0.30525014187885585
NK cells_PB296,0.01653532893621825,0.12252030686754575,0.5943519128784284,0.26659245131780757
Monocytes_PB297,0.0,0.8745087704029532,0.0,0.12549122959704695
Monocytes_PB298,0.15002040069984945,0.34014449292664833,0.2642740309512162,0.24556107542228592
NK cells_PB299,0.0,0.09932014966996824,0.6650676702231529,0.2356121801068789
NK cells_PB300,0.20528277783693594,0.33508560846855867,0.1966950582871202,0.26293655540738525
NK cells_PB301,0.24632870417917643,0.3817072687931622,0.19327854185933632,0.17868548516832491
T cells_PB302,0.14496461490220092,0.2652854382216064,0.23065074290189544,0.35909920397429734
NK cells_PB303,0.0,0.15144559902875665,0.5190632767418909,0.3294911242293525
B cells_PB304,0.42024536925120115,0.14092449370165147,0.2407614560256671,0.19806868102148026
