name,B cells,DC,HSC,Monocytes,NK cells,T cells
DC_PB1,0.0947547331988973,0.8818345052424308,0.0,0.023410761558671916,0.0,0.0
Monocytes_PB2,0.07179638668588524,0.16143400349112258,0.004690885624216048,0.752925520274996,0.0,0.009153203923780193
DC_PB3,0.07596584931630428,0.9174807774715267,0.0,0.0065533732121690665,0.0,0.0
NK cells_PB4,0.02803710831327223,0.0,0.0,0.20577218767151495,0.6158120344596534,0.15037866955555948
DC_PB5,0.39512978533474596,0.5579660595012264,0.0,0.0,0.00498035795518305,0.04192379720884469
DC_PB6,0.2023532553562708,0.7859239906926094,0.0,0.011722753951119842,0.0,0.0
HSC_PB7,0.0,0.32944732395139475,0.06017904888885541,0.46415044202192546,0.017128223975474376,0.12909496116235009
B cells_PB8,0.8466993404354045,0.07482203217903247,0.0,0.0,0.0,0.07847862738556297
Monocytes_PB9,0.06854270198738925,0.05564760741684586,0.005726776430767046,0.6931206276731935,0.0,0.17696228649180434
NK cells_PB10,0.07931711166216737,0.0,0.00706389074946536,0.0,0.7734606352661428,0.1401583623222244
NK cells_PB11,0.25855446893799267,0.45458320261120916,0.0035592315041912334,0.19655468713689714,0.04137615302426263,0.045372256785447346
DC_PB12,0.09856346206895084,0.7609317835253514,0.0,0.1405047544056978,0.0,0.0
NK cells_PB13,0.06489684841193781,0.0,0.0,0.04650718823302672,0.8503561906714769,0.03823977268355847
DC_PB14,0.4550949488725215,0.27758364484385256,0.0,0.09673454324211145,0.01563948829349379,0.1549473747480207
T cells_PB15,0.09284433502295647,0.39532274453013144,0.018398091400664257,0.43136222401370666,0.041783275351690095,0.0202893296808511
T cells_PB16,0.05999508934002973,0.1372197167809484,0.0,0.7597444995985558,0.0,0.04304069428046597
B cells_PB17,0.3118711428081429,0.40842815391454024,0.0,0.21256585949897921,0.059051578303521174,0.008083265474816428
NK cells_PB18,0.09467631504382291,0.0,0.026641421698741393,0.11217070773509391,0.5892195162903026,0.1772920392320393
HSC_PB19,0.047611431257172966,0.24253366098646675,0.5622245048032805,0.0072572780907183485,0.0427101139907181,0.09766301087164336
B cells_PB20,0.41315160777487425,0.3641643138295337,0.0,0.17330588432045793,0.0,0.04937819407513411
