,B cells,Monocytes,NK cells,T cells
B cells_PB1,0.538607770806699,0.28614216589827546,0.1616352341364859,0.013614829158539576
B cells_PB2,0.6750071020553281,0.19904562833502995,0.12594726960964198,0.0
NK cells_PB3,0.32958068183013495,0.29175811336688884,0.2838475595623706,0.0948136452406057
T cells_PB4,0.31736180691954086,0.40488901627487334,0.09269014985841674,0.18505902694716916
T cells_PB5,0.34608663991496347,0.46661068451200943,0.15230966526257267,0.034993010310454466
NK cells_PB6,0.3217519584707954,0.36386011985784006,0.2353733918009743,0.07901452987039016
T cells_PB7,0.3644807319194014,0.5169615178834217,0.0450656312385192,0.07349211895865763
NK cells_PB8,0.2721259840430749,0.2505459260194951,0.4725269395377197,0.004801150399710237
Monocytes_PB9,0.27816148574131483,0.5039348855856913,0.08608921994850108,0.13181440872449274
B cells_PB10,0.5758084263009653,0.25119664577180695,0.17299492792722784,0.0
Monocytes_PB11,0.3987994453742926,0.2828605992301012,0.07482764643524065,0.2435123089603655
B cells_PB12,0.6616465252319526,0.20225966275600663,0.13609381201204082,0.0
T cells_PB13,0.2865595623938248,0.31257768236085365,0.15535145360552122,0.24551130163980034
NK cells_PB14,0.27618023082412513,0.35176923585344083,0.2530509685608189,0.11899956476161512
B cells_PB15,0.3981716133469002,0.36557529458142357,0.155645664999462,0.0806074270722143
Monocytes_PB16,0.3471620967504008,0.3213037586950363,0.1506260891065085,0.18090805544805444
T cells_PB17,0.3237750537448865,0.4803133939149504,0.10663903597421848,0.08927251636594462
T cells_PB18,0.349029662379043,0.37312441248650036,0.13919090142943075,0.13865502370502591
T cells_PB19,0.2983650883110756,0.4881817067654247,0.07566673715399898,0.1377864677695008
T cells_PB20,0.27071774758913353,0.4425083163785009,0.19937215526539426,0.08740178076697132
T cells_PB21,0.3329987332430253,0.3764033196376003,0.12121740378351954,0.16938054333585473
Monocytes_PB22,0.37163955135165433,0.34299257162872177,0.09209413911674226,0.19327373790288163
NK cells_PB23,0.27334021945360504,0.34873550478716236,0.2615369813320171,0.11638729442721542
Monocytes_PB24,0.3105420676100403,0.3665115612132649,0.2203203506529894,0.10262602052370542
T cells_PB25,0.30164354172833807,0.43522770479747613,0.11545281380577105,0.14767593966841475
T cells_PB26,0.2950337479843323,0.34994762124248535,0.14610297597281516,0.20891565480036728
NK cells_PB27,0.2928971939225809,0.348134648847973,0.1732211073848216,0.1857470498446245
Monocytes_PB28,0.26631877809929283,0.4270559247952036,0.208603817272254,0.09802147983324953
B cells_PB29,0.5241214150244756,0.26847217816963437,0.20740640680589,0.0
T cells_PB30,0.3612900111318018,0.479815666376045,0.1510073372548202,0.007886985237332953
Monocytes_PB31,0.2908604838900382,0.4622189099559219,0.16412023825372465,0.08280036790031528
T cells_PB32,0.3305008494371677,0.4858527509078598,0.08986792774509324,0.0937784719098792
T cells_PB33,0.31762873369352024,0.46324456425924776,0.219126702047232,0.0
NK cells_PB34,0.3250084543915357,0.25434496557948844,0.39966213750613955,0.0209844425228364
T cells_PB35,0.284337420806556,0.311415467933344,0.07942708865300069,0.3248200226070992
NK cells_PB36,0.3206347168808538,0.275602925400133,0.3426963988071686,0.06106595891184463
NK cells_PB37,0.27545576905835706,0.3341133932419714,0.3089035782313221,0.08152725946834932
T cells_PB38,0.34872705494374767,0.4976074620918481,0.15366548296440424,0.0
NK cells_PB39,0.28570886491129405,0.2910427484655322,0.3509087824976729,0.0723396041255008
