,Model,Correlation,RMSE
0,nnls,0.459419847832421,0.2203824296658073
1,nnls_mod,0.45656036024852936,0.22026820693360957
2,dwls,0.5439060195107602,0.2025362182297458
3,simplex,0.45656030100444284,0.2202682375545808
4,ridge_simplex,0.42596788620718584,0.20435470662393837
5,dwls_simplex,-0.4058047174417172,0.24160397922587654
6,ridge,0.4544118573089366,0.2048909081191666
7,elasticnet,,0.27774935643489795
8,nusvr,0.5871731159918486,0.19104392172796728
