,Model,Correlation,RMSE
0,nnls,0.3269915933046723,0.231659099918774
1,nnls_mod,0.33226492669291535,0.23068097036993992
2,dwls,0.3526249685576706,0.2254166971639903
3,simplex,0.33235110919126115,0.2306650014061189
4,ridge_simplex,0.33288080235478984,0.23019658790761155
5,dwls_simplex,-0.4058047174417172,0.24160397922587654
6,ridge,0.3157533432303701,0.21637658279817057
7,elasticnet,0.31993061419036634,0.20404579664715192
8,nusvr,0.22290751214554017,0.23413184056053937
