,Model,Correlation,RMSE
0,nnls,-0.8329656909354967,0.3279092686452431
1,nnls_mod,-0.40580471744171714,0.5193695264452854
2,dwls,-0.5260331296520467,0.3619373066851965
3,simplex,-0.40580471744175634,0.5193695264451627
4,ridge_simplex,-0.40580471744178276,0.519369526445179
5,dwls_simplex,-0.4058047174417172,0.24160397922587654
6,ridge,-0.8035850970535577,0.3266653762197974
7,elasticnet,-0.6561597831601224,0.3691187716081552
8,nusvr,-0.554121469063732,0.3321973921991223
