,Model,Correlation,RMSE
0,nnls,-0.4130788623475032,0.48689363422562376
1,nnls_mod,-0.40580471744171714,0.5193695264452854
2,dwls,-0.41626819083845634,0.3526407212226512
3,simplex,-0.25122450138143926,0.2793874848334619
4,ridge_simplex,-0.255848253180167,0.27895978819563416
5,dwls_simplex,-0.4058047174417172,0.24160397922587654
6,ridge,-0.41307849506541,0.4870670702143462
7,elasticnet,-0.414234699422021,0.48292957907612555
8,nusvr,-0.4633906323683469,0.31634733389841674
